gene_id,chromosome,geneStart,geneEnd,targetsTSS,controlTSS,utr3Segment,target5utr,control5utr,utr3segs.distalSegment,cdsexons,strand,tissue,geneType
FBgn0005278,2L,105403,114432,107590-108090,107262-107762,110755-114432,108090-108226,107762-107838,113434-114432,103006-113369,+,Heads,dominant
FBgn0031228,2L,113226,156030,154806-155306,154590-155090,155306-156229,155306-155429,155090-155178,155858-156229,155250-155784,+,Heads,dominant
FBgn0031384,2L,2008359,2030788,2011217-2011717,2009360-2009860,2029494-2030788,2011717-2011785,2009860-2010313,2029836-2030788,2017524-2029756,+,Heads,dominant
FBgn0021800,2L,3802045,3810671,3803046-3803546,3805183-3805683,3803546-3810671,3803546-3803730,3805683-3806821,3807525-3810671,3806969-3807461,+,Heads,dominant
FBgn0031692,2L,5215201,5219053,5217755-5218255,5216202-5216702,5218255-5219322,5218255-5218353,5216702-5216843,5218927-5219322,5218447-5218864,+,Heads,dominant
FBgn0266521,2L,6098877,6124653,6109168-6109668,6099878-6100378,6122264-6124682,6109668-6110224,6100378-6100549,6124654-6124682,6101694-6122853,+,Heads,dominant
FBgn0031858,2L,6772541,6778444,6773542-6774042,6775213-6775713,6777657-6778444,6774042-6774887,6775713-6775894,6777796-6778444,6775831-6777734,+,Heads,dominant
FBgn0261822,2L,8081920,8116531,8087805-8088305,8082921-8083421,8107238-8116536,8088305-8088453,8083421-8083521,8110481-8116536,8088610-8107880,+,Heads,dominant
FBgn0263256,2L,8144258,8158786,8148449-8148949,8145259-8145759,8153835-8158956,8148949-8149473,8145759-8145973,8158954-8158956,8152587-8158179,+,Heads,dominant
FBgn0016122,2L,8520433,8525740,8521434-8521934,8521635-8522136,8524743-8525740,8521934-8522325,8522135-8522325,8524743-8525740,8522402-8524684,+,Heads,dominant
FBgn0028394,2L,8527641,8541439,8528642-8529143,8535287-8535787,8529143-8541552,8529142-8529367,8535787-8535845,8541543-8541552,8535918-8537463,+,Heads,dominant
FBgn0026439,2L,9332067,9341925,9333068-9333568,9337307-9337807,9339620-9341925,9333568-9333659,9337807-9337932,9340700-9341925,9272466-9340640,+,Heads,dominant
FBgn0002973,2L,9435969,9464184,9436970-9437470,9449331-9449831,9460505-9464273,9437470-9437959,9449831-9450381,9460938-9464273,9447018-9460753,+,Heads,dominant
FBgn0032135,2L,9614969,9623109,9616337-9616837,9612915-9613415,9615532-9623564,9616837-9617609,9613415-9615448,9622366-9623564,9621145-9622308,+,Heads,dominant
FBgn0011584,2L,10007881,10013170,10008882-10009382,10009855-10010355,10009382-10013274,10009382-10009536,10010355-10010557,10013171-10013274,10010737-10011908,+,Heads,dominant
FBgn0000114,2L,12173504,12313438,12286724-12287224,12205344-12205844,12304446-12313438,12287224-12287808,12205844-12206130,12312526-12313438,12240868-12312465,+,Heads,dominant
FBgn0264894,2L,13259508,13284043,13260509-13261009,13266370-13266870,13283361-13284573,13261009-13261177,13266870-13266988,13283361-13284573,13261501-13282336,+,Heads,dominant
